,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,516, 1, 105, 15, 59, 5, 23, 5, 268, 3
automobile,104, 168, 128, 31, 191, 29, 71, 4, 257, 17
bird,98, 1, 449, 40, 264, 26, 53, 8, 59, 2
cat,57, 1, 237, 181, 237, 85, 128, 12, 57, 5
deer,61, 0, 247, 20, 554, 9, 45, 12, 52, 0
dog,37, 2, 213, 122, 229, 224, 103, 8, 56, 6
frog,13, 0, 258, 36, 356, 25, 281, 0, 30, 1
horse,75, 4, 181, 50, 303, 44, 57, 196, 80, 10
ship,99, 6, 42, 38, 66, 13, 12, 6, 714, 4
truck,111, 32, 91, 45, 142, 21, 59, 25, 340, 134
Acc: 34.17%
Time(sec): 7074